"","Source","Target","weight","ID"
"1","CartoonTeacher","FloorFront",3,1
"2","CartoonTeacher","FrontWall",116,1
"3","CartoonTeacher","S16_C",7,1
"4","CartoonTeacher","SM_Blackboard_Schiene_low_99",46,1
"5","CartoonTeacher","SM_Blackboard_Tafel_unten_low_101",114,1
"6","CartoonTeacher","Screen_95",199,1
"7","CartoonTeacher","frontcabin",2,1
"8","CartoonTeacher","leftwall_5",1,1
"9","CartoonTeacher","table12",1,1
"10","CartoonTeacher","window1",1,1
"11","FloorFront","CartoonTeacher",2,1
"12","FloorFront","FloorLeftSide",3,1
"13","FloorFront","FloorRightSide",3,1
"14","FloorFront","FrontWall",15,1
"15","FloorFront","S16_C",1,1
"16","FloorFront","Screen_95",2,1
"17","FloorFront","ceiling_front",1,1
"18","FloorFront","chair15",6,1
"19","FloorFront","chair16",4,1
"20","FloorFront","table12",3,1
"21","FloorFront","table13",9,1
"22","FloorFront","table14",1,1
"23","FloorLeftSide","FloorFront",2,1
"24","FloorLeftSide","FloorRightSide",6,1
"25","FloorLeftSide","S14_C",2,1
"26","FloorLeftSide","S32_C",1,1
"27","FloorLeftSide","S33_C",1,1
"28","FloorLeftSide","S34_C",3,1
"29","FloorLeftSide","S35_C",2,1
"30","FloorLeftSide","S42_C",2,1
"31","FloorLeftSide","S43_C",2,1
"32","FloorLeftSide","S44_C",5,1
"33","FloorLeftSide","backcabin2",3,1
"34","FloorLeftSide","backcabin3",4,1
"35","FloorLeftSide","chair14",2,1
"36","FloorLeftSide","chair31",1,1
"37","FloorLeftSide","chair32",1,1
"38","FloorLeftSide","chair33",1,1
"39","FloorLeftSide","chair34",2,1
"40","FloorLeftSide","chair42",2,1
"41","FloorLeftSide","chair44",1,1
"42","FloorLeftSide","leftwall_3",1,1
"43","FloorLeftSide","table12",2,1
"44","FloorLeftSide","table41",3,1
"45","FloorLeftSide","table42",7,1
"46","FloorRightSide","FloorFront",3,1
"47","FloorRightSide","FloorLeftSide",4,1
"48","FloorRightSide","S48_C",1,1
"49","FloorRightSide","chair15",2,1
"50","FloorRightSide","chair17",1,1
"51","FloorRightSide","chair25",1,1
"52","FloorRightSide","chair26",5,1
"53","FloorRightSide","chair27",2,1
"54","FloorRightSide","empty",1,1
"55","FloorRightSide","table13",2,1
"56","FloorRightSide","table14",1,1
"57","FloorRightSide","table23",7,1
"58","FloorRightSide","table43",1,1
"59","FrontWall","CartoonTeacher",128,1
"60","FrontWall","FloorFront",5,1
"61","FrontWall","S14_C",10,1
"62","FrontWall","S16_C",18,1
"63","FrontWall","SM_Blackboard_Schiene_low_99",65,1
"64","FrontWall","SM_Blackboard_Tafel_unten_low_101",28,1
"65","FrontWall","Screen_95",107,1
"66","FrontWall","ceiling_front",1,1
"67","FrontWall","empty",5,1
"68","FrontWall","frontcabin",9,1
"69","FrontWall","frontdoor_5",2,1
"70","FrontWall","leftwall",1,1
"71","FrontWall","leftwall_5",25,1
"72","FrontWall","rightwall1",9,1
"73","FrontWall","table12",2,1
"74","FrontWall","table13",4,1
"75","S11_C","S12_C",1,1
"76","S11_C","S13_C",1,1
"77","S11_C","window1",3,1
"78","S12_C","S11_C",2,1
"79","S12_C","S13_C",7,1
"80","S12_C","Screen_95",1,1
"81","S12_C","chair13",1,1
"82","S12_C","leftwall",1,1
"83","S12_C","window1",5,1
"84","S13_C","FloorFront",4,1
"85","S13_C","FrontWall",1,1
"86","S13_C","S12_C",11,1
"87","S13_C","S14_C",16,1
"88","S13_C","SM_Heizkörper3",2,1
"89","S13_C","Screen_95",1,1
"90","S13_C","chair13",1,1
"91","S13_C","chair14",5,1
"92","S13_C","fronttable",3,1
"93","S13_C","fronttestobject",1,1
"94","S13_C","leftwall",9,1
"95","S13_C","window1",19,1
"96","S14_C","FloorFront",4,1
"97","S14_C","FloorLeftSide",2,1
"98","S14_C","FrontWall",7,1
"99","S14_C","S12_C",1,1
"100","S14_C","S13_C",19,1
"101","S14_C","SM_Blackboard_Schiene_low_99",2,1
"102","S14_C","SM_Blackboard_Tafel_unten_low_101",4,1
"103","S14_C","SM_Heizkörper3",1,1
"104","S14_C","Screen_95",1,1
"105","S14_C","chair14",1,1
"106","S14_C","fronttable",4,1
"107","S14_C","fronttestobject",3,1
"108","S14_C","leftwall",15,1
"109","S14_C","leftwall_5",43,1
"110","S14_C","table12",1,1
"111","S14_C","window1",5,1
"112","S16_C","CartoonTeacher",5,1
"113","S16_C","FrontWall",22,1
"114","S16_C","Screen_95",71,1
"115","S16_C","chair16",4,1
"116","S16_C","empty",1,1
"117","S16_C","frontcabin",3,1
"118","S16_C","rightwall1",1,1
"119","S16_C","rightwall2",1,1
"120","S22_C","S24_C",6,1
"121","S22_C","leftwall_3",3,1
"122","S23_C","S22_C",1,1
"123","S24_C","S22_C",2,1
"124","S24_C","SM_Heizkörper3",6,1
"125","S24_C","chair21",1,1
"126","S24_C","chair24",1,1
"127","S24_C","leftwall",6,1
"128","S24_C","leftwall_3",6,1
"129","S24_C","table22",2,1
"130","S24_C","window1",9,1
"131","S27_C","S28_C",1,1
"132","S28_C","FloorRightSide",1,1
"133","S28_C","empty",14,1
"134","S28_C","rightboard",2,1
"135","S28_C","rightwall2",8,1
"136","S28_C","table24",1,1
"137","S32_C","FloorLeftSide",1,1
"138","S32_C","S33_C",1,1
"139","S32_C","SM_Heizkörper2_81",1,1
"140","S32_C","table32",1,1
"141","S33_C","FloorLeftSide",2,1
"142","S33_C","S34_C",6,1
"143","S33_C","chair33",1,1
"144","S33_C","chair34",2,1
"145","S33_C","table32",4,1
"146","S34_C","FloorLeftSide",4,1
"147","S34_C","S33_C",5,1
"148","S34_C","S42_C",1,1
"149","S34_C","S43_C",1,1
"150","S34_C","SM_Heizkörper2_81",2,1
"151","S34_C","chair32",1,1
"152","S34_C","table32",2,1
"153","S35_C","FloorLeftSide",3,1
"154","S35_C","FloorRightSide",1,1
"155","S35_C","backcabin2",2,1
"156","S35_C","backdoor",1,1
"157","S35_C","backwall1",5,1
"158","S35_C","empty",2,1
"159","S35_C","table43",1,1
"160","S37_C","empty",2,1
"161","S37_C","rightboard",2,1
"162","S37_C","rightwall2",1,1
"163","S37_C","table34",5,1
"164","S37_C","table44",1,1
"165","S42_C","FloorLeftSide",2,1
"166","S42_C","leftwall",1,1
"167","S42_C","table41",2,1
"168","S42_C","table42",3,1
"169","S42_C","window2",2,1
"170","S43_C","FloorLeftSide",2,1
"171","S43_C","S44_C",1,1
"172","S43_C","leftwall",1,1
"173","S43_C","table42",4,1
"174","S44_C","FloorLeftSide",3,1
