time,gaze_target,left.pupil_diameter_mm,right.pupil_diameter_mm
0.0,chair25,3.786575,3.863007
0.021,Screen_95,3.784454,3.862228
0.042,Screen_95,3.789566,3.86142
0.064,Screen_95,3.784958,3.850662
0.088,Screen_95,3.793930000000002,3.8517
0.109,Screen_95,3.713989,3.816284
0.132,Screen_95,3.635635,3.859879
0.154,Screen_95,3.682388,3.978638
0.176,Screen_95,3.659103,3.804688
0.198,Screen_95,3.660416000000001,3.803986
0.221,Screen_95,3.657898,3.832596
0.244,Screen_95,3.663269,3.862183
0.264,Screen_95,3.640381,3.839462
0.287,Screen_95,3.5931550000000003,3.847458
0.309,Screen_95,3.630081,3.786087
0.331,Screen_95,3.656494,3.796906
0.353,S16_C,3.622955,3.619034
0.4639999999999999,FrontWall,3.452576,3.4261470000000003
0.487,FrontWall,3.748825,3.5337370000000004
0.509,FrontWall,3.781876,3.574844
0.531,FrontWall,3.797501,3.969421
0.5539999999999999,FrontWall,3.782059,3.867661
0.5760000000000001,S16_C,3.795853,3.88884
0.598,S16_C,3.797882,3.878433
0.62,S16_C,3.789017,3.868149
0.642,S16_C,3.842743,3.824844
0.665,S16_C,3.724747,3.797241000000001
0.754,FrontWall,4.022476,4.013504
0.775,FrontWall,3.918167,4.024689
0.7979999999999999,CartoonTeacher,3.825638,4.175049
0.82,FrontWall,3.883911,4.1539
0.8420000000000001,CartoonTeacher,3.917465,4.128952
0.8640000000000001,CartoonTeacher,3.896957,4.064011
0.887,CartoonTeacher,3.835617,4.038895
0.909,CartoonTeacher,3.929688,3.939209
0.931,CartoonTeacher,3.968689,4.070313
0.954,CartoonTeacher,3.976547,4.13382
0.976,CartoonTeacher,3.988663,4.049926999999999
0.999,CartoonTeacher,3.986603,4.037247
1.021,CartoonTeacher,3.971954,4.056198
1.043,CartoonTeacher,3.951508,4.051941
1.065,CartoonTeacher,3.935806,4.062393
1.087,CartoonTeacher,3.923264,4.054016000000002
1.108,CartoonTeacher,3.913101,4.055969
