"","time","gaze_target","left.pupil_diameter_mm","right.pupil_diameter_mm"
"1",0,"chair25",3.786575,3.863007
"2",0.021,"Screen_95",3.784454,3.862228
"3",0.042,"Screen_95",3.789566,3.86142
"4",0.064,"Screen_95",3.784958,3.850662
"5",0.088,"Screen_95",3.79393,3.8517
"6",0.109,"Screen_95",3.713989,3.816284
"7",0.132,"Screen_95",3.635635,3.859879
"8",0.154,"Screen_95",3.682388,3.978638
"9",0.176,"Screen_95",3.659103,3.804688
"10",0.198,"Screen_95",3.660416,3.803986
"11",0.221,"Screen_95",3.657898,3.832596
"12",0.244,"Screen_95",3.663269,3.862183
"13",0.264,"Screen_95",3.640381,3.839462
"14",0.287,"Screen_95",3.593155,3.847458
"15",0.309,"Screen_95",3.630081,3.786087
"16",0.331,"Screen_95",3.656494,3.796906
"17",0.353,"S16_C",3.622955,3.619034
"22",0.464,"FrontWall",3.452576,3.426147
"23",0.487,"FrontWall",3.748825,3.533737
"24",0.509,"FrontWall",3.781876,3.574844
"25",0.531,"FrontWall",3.797501,3.969421
"26",0.554,"FrontWall",3.782059,3.867661
"27",0.576,"S16_C",3.795853,3.88884
"28",0.598,"S16_C",3.797882,3.878433
"29",0.62,"S16_C",3.789017,3.868149
"30",0.642,"S16_C",3.842743,3.824844
"31",0.665,"S16_C",3.724747,3.797241
"35",0.754,"FrontWall",4.022476,4.013504
"36",0.775,"FrontWall",3.918167,4.024689
"37",0.798,"CartoonTeacher",3.825638,4.175049
"38",0.82,"FrontWall",3.883911,4.1539
"39",0.842,"CartoonTeacher",3.917465,4.128952
"40",0.864,"CartoonTeacher",3.896957,4.064011
"41",0.887,"CartoonTeacher",3.835617,4.038895
"42",0.909,"CartoonTeacher",3.929688,3.939209
"43",0.931,"CartoonTeacher",3.968689,4.070313
"44",0.954,"CartoonTeacher",3.976547,4.13382
"45",0.976,"CartoonTeacher",3.988663,4.049927
"46",0.999,"CartoonTeacher",3.986603,4.037247
"47",1.021,"CartoonTeacher",3.971954,4.056198
"48",1.043,"CartoonTeacher",3.951508,4.051941
"49",1.065,"CartoonTeacher",3.935806,4.062393
"50",1.087,"CartoonTeacher",3.923264,4.054016
"51",1.108,"CartoonTeacher",3.913101,4.055969
"52",1.131,"CartoonTeacher",3.868546,4.053345
"53",1.153,"CartoonTeacher",3.85643,4.013138
"54",1.175,"CartoonTeacher",3.815277,4.132858
