participant,time_point,trans_dur,Source,Target
001,0.0,0.021,chair25,Screen_95
001,0.331,0.021999999999999964,Screen_95,S16_C
001,0.353,0.11099999999999993,S16_C,FrontWall
001,0.5539999999999999,0.02200000000000013,FrontWall,S16_C
001,0.665,0.08899999999999997,S16_C,FrontWall
001,0.775,0.02299999999999991,FrontWall,CartoonTeacher
001,0.7979999999999999,0.02200000000000002,CartoonTeacher,FrontWall
001,0.82,0.02200000000000013,FrontWall,CartoonTeacher
001,1.286,0.02200000000000002,CartoonTeacher,FrontWall
001,1.332,0.02100000000000013,FrontWall,CartoonTeacher
001,1.3969999999999998,0.02300000000000013,CartoonTeacher,FrontWall
001,1.42,0.02300000000000013,FrontWall,CartoonTeacher
001,1.443,0.02200000000000002,CartoonTeacher,S16_C
001,1.886,0.02200000000000002,S16_C,CartoonTeacher
001,5.961,0.02400000000000002,CartoonTeacher,SM_Blackboard_Tafel_unten_low_101
001,7.093999999999999,0.03300000000000125,SM_Blackboard_Tafel_unten_low_101,Screen_95
001,7.127000000000001,0.032999999999999474,Screen_95,CartoonTeacher
001,12.559,0.02200000000000024,CartoonTeacher,Screen_95
001,12.581,0.022999999999999687,Screen_95,SM_Blackboard_Tafel_unten_low_101
001,12.625,0.022999999999999687,SM_Blackboard_Tafel_unten_low_101,SM_Blackboard_Schiene_low_99
001,12.692,0.02200000000000024,SM_Blackboard_Schiene_low_99,SM_Blackboard_Tafel_unten_low_101
001,12.781,0.023999999999999133,SM_Blackboard_Tafel_unten_low_101,SM_Blackboard_Schiene_low_99
001,12.805,0.02200000000000024,SM_Blackboard_Schiene_low_99,SM_Blackboard_Tafel_unten_low_101
001,12.827,0.02200000000000024,SM_Blackboard_Tafel_unten_low_101,FrontWall
001,12.849,0.022999999999999687,FrontWall,leftwall
001,12.898,0.02200000000000024,leftwall,leftwall_5
001,12.92,0.022999999999999687,leftwall_5,leftwall
001,12.943,0.02200000000000024,leftwall,leftwall_5
001,13.065,0.11599999999999966,leftwall_5,Screen_95
001,13.181,0.021000000000000796,Screen_95,CartoonTeacher
001,13.268,0.022999999999999687,CartoonTeacher,Screen_95
001,13.291,0.022999999999999687,Screen_95,CartoonTeacher
001,13.314,0.019999999999999574,CartoonTeacher,Screen_95
001,13.334,0.022999999999999687,Screen_95,CartoonTeacher
001,14.48,0.032999999999999474,CartoonTeacher,Screen_95
001,14.513,0.034000000000000696,Screen_95,FrontWall
001,14.679,0.03500000000000014,FrontWall,frontcabin
001,15.058,0.022999999999999687,frontcabin,S16_C
001,15.081,0.021000000000000796,S16_C,Screen_95
001,15.102,0.022999999999999687,Screen_95,CartoonTeacher
001,15.413,0.022999999999999687,CartoonTeacher,S16_C
001,15.879,0.022999999999999687,S16_C,CartoonTeacher
001,15.968,0.022999999999999687,CartoonTeacher,FrontWall
001,16.012999999999998,0.022999999999999687,FrontWall,rightwall1
001,16.035999999999998,0.022000000000002018,rightwall1,empty
001,16.08,0.022999999999999687,empty,rightwall1
001,16.102999999999998,0.022000000000002018,rightwall1,empty
001,16.125,0.022000000000002018,empty,rightwall1
001,16.147000000000002,0.021999999999998465,rightwall1,empty
001,16.213,0.022999999999999687,empty,CartoonTeacher
001,16.724,0.021000000000000796,CartoonTeacher,frontcabin
001,17.302,0.022000000000002018,frontcabin,FrontWall
001,17.324,0.020999999999997243,FrontWall,Screen_95
001,18.301,0.022000000000002018,Screen_95,SM_Blackboard_Tafel_unten_low_101
001,18.323,0.022999999999999687,SM_Blackboard_Tafel_unten_low_101,leftwall_5
001,18.346,0.022999999999999687,leftwall_5,S14_C
001,18.528,0.027000000000001023,S14_C,leftwall
001,18.555,0.03300000000000125,leftwall,S14_C
001,18.855,0.03300000000000125,S14_C,S13_C
001,18.953,0.03399999999999892,S13_C,S12_C
001,19.054,0.03300000000000125,S12_C,window1
