"","participant","time_point","trans_dur","Source","Target"
"1","001",0,0.021,"chair25","Screen_95"
"2","001",0.331,0.022,"Screen_95","S16_C"
"3","001",0.353,0.111,"S16_C","FrontWall"
"4","001",0.554,0.0219999999999999,"FrontWall","S16_C"
"5","001",0.665,0.089,"S16_C","FrontWall"
"6","001",0.775,0.023,"FrontWall","CartoonTeacher"
"7","001",0.798,0.0219999999999999,"CartoonTeacher","FrontWall"
"8","001",0.82,0.022,"FrontWall","CartoonTeacher"
"9","001",1.286,0.022,"CartoonTeacher","FrontWall"
"10","001",1.332,0.0209999999999999,"FrontWall","CartoonTeacher"
"11","001",1.397,0.0229999999999999,"CartoonTeacher","FrontWall"
"12","001",1.42,0.0230000000000001,"FrontWall","CartoonTeacher"
"13","001",1.443,0.022,"CartoonTeacher","S16_C"
"14","001",1.886,0.022,"S16_C","CartoonTeacher"
"15","001",5.961,0.024,"CartoonTeacher","SM_Blackboard_Tafel_unten_low_101"
"16","001",7.094,0.0329999999999995,"SM_Blackboard_Tafel_unten_low_101","Screen_95"
"17","001",7.127,0.0330000000000004,"Screen_95","CartoonTeacher"
"18","001",12.559,0.0220000000000002,"CartoonTeacher","Screen_95"
"19","001",12.581,0.0229999999999997,"Screen_95","SM_Blackboard_Tafel_unten_low_101"
"20","001",12.625,0.0229999999999997,"SM_Blackboard_Tafel_unten_low_101","SM_Blackboard_Schiene_low_99"
"21","001",12.692,0.0220000000000002,"SM_Blackboard_Schiene_low_99","SM_Blackboard_Tafel_unten_low_101"
"22","001",12.781,0.0239999999999991,"SM_Blackboard_Tafel_unten_low_101","SM_Blackboard_Schiene_low_99"
"23","001",12.805,0.0220000000000002,"SM_Blackboard_Schiene_low_99","SM_Blackboard_Tafel_unten_low_101"
"24","001",12.827,0.0220000000000002,"SM_Blackboard_Tafel_unten_low_101","FrontWall"
"25","001",12.849,0.0229999999999997,"FrontWall","leftwall"
"26","001",12.898,0.0220000000000002,"leftwall","leftwall_5"
"27","001",12.92,0.0229999999999997,"leftwall_5","leftwall"
"28","001",12.943,0.0220000000000002,"leftwall","leftwall_5"
"29","001",13.065,0.116,"leftwall_5","Screen_95"
"30","001",13.181,0.0210000000000008,"Screen_95","CartoonTeacher"
"31","001",13.268,0.0229999999999997,"CartoonTeacher","Screen_95"
"32","001",13.291,0.0229999999999997,"Screen_95","CartoonTeacher"
"33","001",13.314,0.0199999999999996,"CartoonTeacher","Screen_95"
"34","001",13.334,0.0229999999999997,"Screen_95","CartoonTeacher"
"35","001",14.48,0.0329999999999995,"CartoonTeacher","Screen_95"
"36","001",14.513,0.0340000000000007,"Screen_95","FrontWall"
"37","001",14.679,0.0350000000000001,"FrontWall","frontcabin"
"38","001",15.058,0.0229999999999997,"frontcabin","S16_C"
"39","001",15.081,0.0210000000000008,"S16_C","Screen_95"
"40","001",15.102,0.0229999999999997,"Screen_95","CartoonTeacher"
"41","001",15.413,0.0229999999999997,"CartoonTeacher","S16_C"
"42","001",15.879,0.0229999999999997,"S16_C","CartoonTeacher"
"43","001",15.968,0.0229999999999997,"CartoonTeacher","FrontWall"
"44","001",16.013,0.0229999999999997,"FrontWall","rightwall1"
"45","001",16.036,0.0219999999999985,"rightwall1","empty"
"46","001",16.08,0.0230000000000032,"empty","rightwall1"
"47","001",16.103,0.0219999999999985,"rightwall1","empty"
"48","001",16.125,0.0219999999999985,"empty","rightwall1"
"49","001",16.147,0.022000000000002,"rightwall1","empty"
"50","001",16.213,0.0229999999999997,"empty","CartoonTeacher"
"51","001",16.724,0.0210000000000008,"CartoonTeacher","frontcabin"
"52","001",17.302,0.022000000000002,"frontcabin","FrontWall"
"53","001",17.324,0.0209999999999972,"FrontWall","Screen_95"
"54","001",18.301,0.022000000000002,"Screen_95","SM_Blackboard_Tafel_unten_low_101"
"55","001",18.323,0.0229999999999997,"SM_Blackboard_Tafel_unten_low_101","leftwall_5"
"56","001",18.346,0.0229999999999997,"leftwall_5","S14_C"
"57","001",18.528,0.027000000000001,"S14_C","leftwall"
"58","001",18.555,0.0330000000000013,"leftwall","S14_C"
"59","001",18.855,0.0330000000000013,"S14_C","S13_C"
"60","001",18.953,0.0339999999999989,"S13_C","S12_C"
"61","001",19.054,0.0330000000000013,"S12_C","window1"
"62","001",19.087,0.0339999999999989,"window1","S24_C"
"63","001",19.187,0.0339999999999989,"S24_C","leftwall_3"
"64","001",19.221,0.0330000000000013,"leftwall_3","S24_C"
"65","001",19.254,0.0339999999999989,"S24_C","leftwall"
"66","001",19.288,0.0219999999999985,"leftwall","S24_C"
"67","001",19.689,0.0229999999999997,"S24_C","leftwall"
"68","001",19.712,0.0240000000000009,"leftwall","S12_C"
"69","001",19.849,0.0219999999999985,"S12_C","leftwall"
"70","001",19.871,0.0240000000000009,"leftwall","S13_C"
"71","001",20.244,0.0229999999999997,"S13_C","window1"
"72","001",20.601,0.0199999999999996,"window1","leftwall"
"73","001",20.71,0.0229999999999997,"leftwall","ceiling"
"74","001",21.25,0.0210000000000008,"ceiling","FrontWall"
"75","001",21.271,0.0219999999999985,"FrontWall","Screen_95"
"76","001",21.643,0.0229999999999997,"Screen_95","FrontWall"
"77","001",21.666,0.0210000000000008,"FrontWall","frontdoor_5"
"78","001",21.687,0.0219999999999985,"frontdoor_5","frontcabin"
"79","001",22.131,0.0219999999999985,"frontcabin","empty"
"80","001",22.198,0.0219999999999985,"empty","rightwall1"
"81","001",22.242,0.0219999999999985,"rightwall1","empty"
"82","001",22.264,0.0229999999999997,"empty","S16_C"
"83","001",22.287,0.022000000000002,"S16_C","rightwall1"
"84","001",22.309,0.0219999999999985,"rightwall1","empty"
"85","001",22.354,0.022000000000002,"empty","S16_C"
"86","001",22.398,0.022000000000002,"S16_C","frontcabin"
"87","001",22.42,0.0679999999999978,"frontcabin","empty"
"88","001",22.488,0.022000000000002,"empty","rightwall2"
"89","001",22.599,0.0210000000000008,"rightwall2","empty"
"90","001",22.62,0.0229999999999997,"empty","rightwall2"
"91","001",22.643,0.0229999999999997,"rightwall2","empty"
"92","001",22.733,0.0210000000000008,"empty","S28_C"
"93","001",22.776,0.0249999999999986,"S28_C","rightwall2"
"94","001",22.801,0.0230000000000032,"rightwall2","S28_C"
"95","001",22.845,0.0229999999999997,"S28_C","empty"
"96","001",22.891,0.0300000000000011,"empty","rightwall2"
"97","001",22.921,0.0330000000000013,"rightwall2","S28_C"
"98","001",23.22,0.0340000000000025,"S28_C","table24"
"99","001",23.254,0.0329999999999977,"table24","S28_C"
"100","001",23.643,0.0670000000000002,"S28_C","empty"
"101","001",23.71,0.0219999999999985,"empty","rightwall2"
"102","001",23.777,0.0209999999999972,"rightwall2","S28_C"
"103","001",23.888,0.0209999999999972,"S28_C","rightwall2"
"104","001",23.954,0.0229999999999997,"rightwall2","chair28"
"105","001",23.977,0.0210000000000008,"chair28","chair27"
"106","001",23.998,0.0219999999999985,"chair27","rightwall2"
"107","001",24.02,0.0229999999999997,"rightwall2","empty"
"108","001",24.131,0.0219999999999985,"empty","rightwall2"
"109","001",24.177,0.0229999999999997,"rightwall2","chair28"
"110","001",24.245,0.0229999999999997,"chair28","empty"
"111","001",24.291,0.0229999999999997,"empty","chair27"
"112","001",24.314,0.0240000000000009,"chair27","empty"
"113","001",24.386,0.0229999999999997,"empty","chair27"
"114","001",24.471,0.0240000000000009,"chair27","S28_C"
"115","001",24.495,0.0269999999999975,"S28_C","FloorRightSide"
"116","001",24.545,0.0239999999999974,"FloorRightSide","chair27"
"117","001",24.569,0.022000000000002,"chair27","table24"
"118","001",24.591,0.0229999999999997,"table24","FloorRightSide"
"119","001",24.954,0.0219999999999985,"FloorRightSide","chair27"
"120","001",24.998,0.0239999999999974,"chair27","chair26"
"121","001",25.022,0.0210000000000008,"chair26","FloorRightSide"
"122","001",25.043,0.0229999999999997,"FloorRightSide","chair26"
"123","001",25.554,0.182000000000002,"chair26","FloorRightSide"
"124","001",25.736,0.0210000000000008,"FloorRightSide","chair26"
"125","001",25.78,0.0219999999999985,"chair26","FloorRightSide"
"126","001",25.863,0.0339999999999989,"FloorRightSide","chair26"
"127","001",26.064,0.0330000000000013,"chair26","table23"
"128","001",27.906,0.0670000000000002,"table23","table24"
"129","001",28.007,0.0329999999999977,"table24","empty"
"130","001",28.14,0.0350000000000001,"empty","rightwall2"
"131","001",28.175,0.0309999999999988,"rightwall2","empty"
"132","001",28.206,0.0339999999999989,"empty","rightwall2"
"133","001",28.306,0.0219999999999985,"rightwall2","empty"
"134","001",28.441,0.022000000000002,"empty","S28_C"
"135","001",28.463,0.0219999999999985,"S28_C","empty"
"136","001",28.507,0.0219999999999985,"empty","S28_C"
"137","001",28.529,0.0240000000000009,"S28_C","rightwall2"
"138","001",28.575,0.022000000000002,"rightwall2","empty"
"139","001",28.597,0.0209999999999972,"empty","rightwall2"
"140","001",28.663,0.0219999999999985,"rightwall2","empty"
"141","001",28.685,0.022000000000002,"empty","rightwall2"
"142","001",28.707,0.0219999999999985,"rightwall2","empty"
"143","001",28.729,0.022000000000002,"empty","rightwall2"
"144","001",28.886,0.0229999999999997,"rightwall2","empty"
"145","001",28.933,0.0240000000000009,"empty","rightwall2"
"146","001",28.957,0.0199999999999996,"rightwall2","empty"
"147","001",29.023,0.022000000000002,"empty","rightwall2"
"148","001",29.045,0.0219999999999985,"rightwall2","S28_C"
"149","001",29.067,0.0219999999999985,"S28_C","empty"
"150","001",29.156,0.0210000000000008,"empty","rightwall2"
"151","001",29.177,0.0229999999999997,"rightwall2","empty"
"152","001",29.2,0.0199999999999996,"empty","rightwall2"
"153","001",29.243,0.0200000000000031,"rightwall2","empty"
"154","001",29.286,0.0199999999999996,"empty","rightwall2"
"155","001",29.306,0.0239999999999974,"rightwall2","chair17"
"156","001",29.374,0.022000000000002,"chair17","frontcabin"
"157","001",29.418,0.0229999999999997,"frontcabin","chair17"
"158","001",29.552,0.0440000000000005,"chair17","rightwall1"
"159","001",29.596,0.0229999999999997,"rightwall1","S16_C"
"160","001",29.686,0.0219999999999985,"S16_C","chair16"
"161","001",29.73,0.0210000000000008,"chair16","S16_C"
"162","001",29.885,0.0229999999999997,"S16_C","FrontWall"
"163","001",29.908,0.0209999999999972,"FrontWall","Screen_95"
"164","001",29.976,0.0190000000000019,"Screen_95","FrontWall"
"165","001",29.995,0.0239999999999974,"FrontWall","Screen_95"
"166","001",30.019,0.022000000000002,"Screen_95","FrontWall"
"167","001",30.064,0.0210000000000008,"FrontWall","Screen_95"
"168","001",30.16,0.0339999999999989,"Screen_95","FrontWall"
"169","001",30.495,0.0329999999999977,"FrontWall","CartoonTeacher"
"170","001",30.528,0.0330000000000013,"CartoonTeacher","SM_Blackboard_Schiene_low_99"
"171","001",30.627,0.0340000000000025,"SM_Blackboard_Schiene_low_99","FrontWall"
"172","001",30.661,0.0329999999999977,"FrontWall","SM_Blackboard_Schiene_low_99"
"173","001",30.694,0.0330000000000013,"SM_Blackboard_Schiene_low_99","FrontWall"
"174","001",30.761,0.0340000000000025,"FrontWall","S14_C"
"175","001",30.795,0.0329999999999977,"S14_C","window1"
"176","001",30.828,0.0330000000000013,"window1","S14_C"
"177","001",31.028,0.022000000000002,"S14_C","S13_C"
