,time,gaze_target
0,0.0,A
1,0.02,B
2,0.04,C
3,0.06,D
4,0.08,E
5,0.1,F
6,0.12,G
7,0.14,H
8,0.16,I
9,0.18,J
10,0.2,K
11,0.22,L
12,0.24,M
13,0.26,N
14,0.28,O
15,0.3,P
16,0.32,Q
17,0.34,R
18,0.36,S
19,0.38,T
20,0.4,U
21,0.42,V
22,0.44,W
23,0.46,X
24,0.48,Y
25,0.5,A
26,0.52,B
27,0.54,C
28,0.56,D
29,0.58,E
30,0.6,F
31,0.62,G
32,0.64,H
33,0.66,I
34,0.68,J
35,0.7000000000000001,K
36,0.72,L
37,0.74,M
38,0.76,N
39,0.78,O
40,0.8,P
41,0.8200000000000001,Q
42,0.84,R
43,0.86,S
44,0.88,T
45,0.9,U
46,0.92,V
47,0.9400000000000001,W
48,0.96,X
49,0.98,Y
50,1.0,A
51,1.02,B
52,1.04,C
53,1.06,D
54,1.08,E
55,1.1,F
56,1.12,G
57,1.1400000000000001,H
58,1.16,I
59,1.18,J
60,1.2,K
61,1.22,L
62,1.24,M
63,1.26,N
64,1.28,O
65,1.3,P
66,1.32,Q
67,1.34,R
68,1.36,S
69,1.3800000000000001,T
70,1.4000000000000001,U
71,1.42,V
72,1.44,W
73,1.46,X
74,1.48,Y
75,1.5,A
76,1.52,B
77,1.54,C
78,1.56,D
79,1.58,E
80,1.6,F
81,1.62,G
82,1.6400000000000001,H
83,1.6600000000000001,I
84,1.68,J
85,1.7,K
86,1.72,L
87,1.74,M
88,1.76,N
89,1.78,O
90,1.8,P
91,1.82,Q
92,1.84,R
93,1.86,S
94,1.8800000000000001,T
95,1.9000000000000001,U
96,1.92,V
97,1.94,W
98,1.96,X
99,1.98,Y
100,2.0,A
101,2.02,B
102,2.04,C
103,2.06,D
104,2.08,E
105,2.1,F
106,2.12,G
107,2.14,H
108,2.16,I
109,2.18,J
110,2.2,K
111,2.22,L
112,2.24,M
113,2.2600000000000002,N
114,2.2800000000000002,O
115,2.3000000000000003,P
116,2.32,Q
117,2.34,R
118,2.36,S
119,2.38,T
120,2.4,U
121,2.42,V
122,2.44,W
123,2.46,X
124,2.48,Y
125,2.5,A
126,2.52,B
127,2.54,C
128,2.56,D
129,2.58,E
130,2.6,F
131,2.62,G
132,2.64,H
133,2.66,I
134,2.68,J
135,2.7,K
136,2.72,L
137,2.74,M
138,2.7600000000000002,N
139,2.7800000000000002,O
140,2.8000000000000003,P
141,2.82,Q
142,2.84,R
143,2.86,S
144,2.88,T
145,2.9,U
146,2.92,V
147,2.94,W
148,2.96,X
149,2.98,Y
150,3.0,A
151,3.02,B
152,3.04,C
153,3.06,D
154,3.08,E
155,3.1,F
156,3.12,G
157,3.14,H
158,3.16,I
159,3.18,J
160,3.2,K
161,3.22,L
162,3.24,M
163,3.2600000000000002,N
164,3.2800000000000002,O
165,3.3000000000000003,P
166,3.3200000000000003,Q
167,3.34,R
168,3.36,S
169,3.38,T
170,3.4,U
171,3.42,V
172,3.44,W
173,3.46,X
174,3.48,Y
175,3.5,A
176,3.52,B
177,3.54,C
178,3.56,D
179,3.58,E
180,3.6,F
181,3.62,G
182,3.64,H
183,3.66,I
184,3.68,J
185,3.7,K
186,3.72,L
187,3.74,M
188,3.7600000000000002,N
189,3.7800000000000002,O
190,3.8000000000000003,P
191,3.8200000000000003,Q
192,3.84,R
193,3.86,S
194,3.88,T
195,3.9,U
196,3.92,V
197,3.94,W
198,3.96,X
199,3.98,Y
200,4.0,A
201,4.0200000000000005,B
202,4.04,C
203,4.0600000000000005,D
204,4.08,E
205,4.1,F
206,4.12,G
207,4.14,H
208,4.16,I
209,4.18,J
210,4.2,K
211,4.22,L
212,4.24,M
213,4.26,N
