Participants, Dataset_size, NumberOfOOIS, runtime, memorycurrent, memorypeak 
25,100,4,0.196000337600708,253117,541699 
25,100,10,0.1930387020111084,342090,630961 
25,100,25,0.21799945831298828,368603,657128 
25,100,50,0.20600104331970215,402576,690245 
25,1000,4,0.2259998321533203,915703,1195883 
25,1000,10,0.2179548740386963,918876,1198897 
25,1000,25,0.21499896049499512,921018,1201108 
25,1000,50,0.21895956993103027,953917,1233362 
25,10000,4,0.2710435390472412,6326942,6775690 
25,10000,10,0.2690012454986572,6329387,6778207 
25,10000,25,0.29303550720214844,6331867,6780708 
25,10000,50,0.2859978675842285,6364372,6813171 
25,100000,4,0.7989494800567627,60336273,64565197 
25,100000,10,0.8820195198059082,60338311,64567201 
25,100000,25,0.7919983863830566,60340128,64568978 
25,100000,50,0.7570593357086182,60372650,64601599 
50,100,4,0.3980398178100586,570294,60372762 
50,100,10,0.41995978355407715,572996,862277 
50,100,25,0.4020397663116455,575683,865033 
50,100,50,0.4179544448852539,638947,927185 
50,1000,4,0.4359900951385498,1660171,1940737 
50,1000,10,0.4050414562225342,1662306,1942795 
50,1000,25,0.40696001052856445,1664586,1945202 
50,1000,50,0.4350426197052002,1727850,2007691 
50,10000,4,0.586003303527832,12468663,12917821 
50,10000,10,0.5579667091369629,12470767,12919939 
50,10000,25,0.5929989814758301,12472824,12921959 
50,10000,50,0.5729994773864746,12536080,12985276 
50,100000,4,1.515000581741333,120476872,124706015 
50,100000,10,1.4839603900909424,120478653,124707919 
50,100000,25,1.465041160583496,120480777,124709981 
50,100000,50,1.5079922676086426,120544002,124773148 
100,100,4,0.7669625282287598,937797,120544114 
100,100,10,0.7729990482330322,942544,1232153 
100,100,25,0.7709994316101074,947280,1236796 
100,100,50,0.7840127944946289,1074376,1362769 
100,1000,4,0.8229568004608154,3116283,3397046 
100,1000,10,0.8140013217926025,3120718,3401416 
100,1000,25,0.7949984073638916,3125235,3405938 
100,1000,50,0.8090002536773682,3251926,3531779 
100,10000,4,1.0050311088562012,24733501,25182766 
100,10000,10,0.997028112411499,24737694,25186895 
100,10000,25,1.0090117454528809,24741799,25191134 
100,10000,50,1.0219991207122803,24868469,25317612 
100,100000,4,2.975001335144043,240749774,244978970 
100,100000,10,3.0389633178710938,240753700,244982846 
100,100000,25,2.975003242492676,240757193,244986339 
100,100000,50,3.021029472351074,240883976,245113122 
250,100,4,2.1469602584838867,2001295,240884030 
250,100,10,2.1450347900390625,2011007,2300581 
250,100,25,2.073962688446045,2020964,2310461 
250,100,50,2.155000686645508,2336685,2625006 
250,1000,4,2.3209989070892334,7440249,7720954 
250,1000,10,2.208962917327881,7450643,7731409 
250,1000,25,2.111037492752075,7460401,7741274 
250,1000,50,2.1379590034484863,7776269,8056358 
250,10000,4,2.6350436210632324,61480140,61929391 
250,10000,10,2.6389987468719482,61489969,61939237 
250,10000,25,2.5600366592407227,61499844,61949112 
250,10000,50,2.6440086364746094,61815153,62264469 
250,100000,4,7.50896143913269,601519411,605748732 
250,100000,10,7.500041723251343,601528931,605758255 
250,100000,25,7.581932783126831,601538599,605767798 
250,100000,50,7.5790369510650635,601854819,606084071 
500,100,4,3.965947389602661,3817272,601854878 
500,100,10,3.94699764251709,3837966,4127516 
500,100,25,4.015749931335449,3856743,4146312 
500,100,50,4.138999700546265,4488588,4777034 
500,1000,4,4.128000736236572,14696209,14977101 
500,1000,10,4.035095930099487,14716223,14997070 
500,1000,25,4.041960954666138,14735464,15016235 
500,1000,50,4.077002048492432,15366989,15647056 
500,10000,4,5.098001480102539,122774699,123224012 
500,10000,10,5.392000675201416,122794169,123243485 
500,10000,25,5.375009059906006,122814056,123263377 
500,10000,50,5.272001266479492,123445606,123894932 
500,100000,4,14.905000686645508,1202852922,1207082185 
500,100000,10,15.128084421157837,1202872789,1207102094 
500,100000,25,14.924933671951294,1202892453,1207121777 
500,100000,50,15.624986171722412,1203522990,1207751722 
